id,value
id_0,37.7351058106
id_1,12.8608750433
id_10,27.2346415287
id_100,22.6905423123
id_101,48.9240418279
id_102,30.8970699394
id_103,34.734498585
id_104,33.8342492692
id_105,27.0111490847
id_106,15.3893554835
id_107,37.3800800571
id_108,9.51604924208
id_109,70.7158072984
id_11,40.8904744418
id_110,31.3999255358
id_111,69.746161302
id_112,20.846849775
id_113,22.7526795415
id_114,25.2948517492
id_115,35.1703501114
id_116,32.2845628585
id_117,23.994411211
id_118,26.2559105784
id_119,45.2033099034
id_12,40.1643622273
id_120,24.8831110672
id_121,36.5677950239
id_122,64.7749607495
id_123,3.21210234084
id_124,39.3108211104
id_125,4.25354142098
id_126,28.6260748041
id_127,15.688161756
id_128,26.3120450042
id_129,48.6314493823
id_13,15.4353495651
id_130,4.43741619184
id_131,45.8394628103
id_132,17.8974198557
id_133,4.24227554936
id_134,24.3747032811
id_135,27.866857144
id_136,77.0663402437
id_137,97.2891564755
id_138,29.0027412424
id_139,55.2083934126
id_14,24.0101240158
id_140,76.9384895956
id_141,18.0183337127
id_142,50.2312729731
id_143,31.1361319321
id_144,29.5814204637
id_145,13.855511435
id_146,36.8042435809
id_147,47.38641561
id_148,30.8540035556
id_149,18.9659608673
id_15,39.7827401699
id_150,42.8537436774
id_151,37.7403621558
id_152,59.4806078674
id_153,24.2766350239
id_154,10.2125190219
id_155,60.9326695992
id_156,13.3108353025
id_157,28.4021956692
id_158,41.9166217778
id_159,25.3070068966
id_16,31.3564771617
id_160,12.7770329346
id_161,105.677158761
id_162,63.5433417341
id_163,33.997546173
id_164,36.1530187788
id_165,32.992090842
id_166,51.8340052582
id_167,56.3506919254
id_168,11.5856772072
id_169,23.1285599538
id_17,52.8780686607
id_170,34.0858741558
id_171,30.7883689654
id_172,24.5131788796
id_173,37.7783548698
id_174,87.2091593786
id_175,52.0879688028
id_176,19.0874143046
id_177,24.3020808291
id_178,71.2995540595
id_179,27.4480846827
id_18,22.8290630696
id_180,14.9685479927
id_181,25.9252689995
id_182,24.3963992122
id_183,25.5275267003
id_184,12.9228792881
id_185,21.7142702139
id_186,36.4926045666
id_187,47.0113382718
id_188,70.4887121233
id_189,54.2018001195
id_19,8.39597987821
id_190,5.28591781578
id_191,24.3463725417
id_192,15.8393383519
id_193,30.6160838565
id_194,28.1384496491
id_195,14.7753734662
id_196,14.1831229298
id_197,13.8511540455
id_198,21.8106460067
id_199,13.7711779212
id_2,8.77952113242
id_20,31.357432388
id_200,8.4066028121
id_201,28.4429404102
id_202,23.6934785384
id_203,73.6877635563
id_204,-15.0337604999
id_205,17.6944752665
id_206,62.1447552347
id_207,49.710435737
id_208,25.0135861003
id_209,28.725672106
id_21,31.7764903862
id_210,51.940860862
id_211,35.8417860858
id_212,31.1628886906
id_213,-26.0683246499
id_214,12.8996646473
id_215,6.2255462223
id_216,43.683862066
id_217,6.08829261938
id_218,31.583848039
id_219,94.4122923126
id_22,51.9373353883
id_220,51.4498902923
id_221,17.3309532771
id_222,37.6418626123
id_223,87.276009398
id_224,30.9959115378
id_225,15.4993476236
id_226,15.3786691438
id_227,49.1834129108
id_228,34.213257106
id_229,34.639226769
id_23,44.6893117934
id_230,7.46108831855
id_231,30.4365281886
id_232,-7.57494295132
id_233,34.8799098113
id_234,65.6180317026
id_235,21.1491173378
id_236,15.4625652542
id_237,15.3757688658
id_238,13.4548842567
id_239,33.8958869375
id_24,18.2413660277
id_240,26.7325565172
id_241,74.7795691494
id_242,37.218075298
id_243,32.6253203996
id_244,62.2904451433
id_245,40.4565580629
id_246,41.4353880774
id_247,48.0798869793
id_248,20.0644156343
id_249,3.69230148155
id_25,13.8309807439
id_250,14.2094648641
id_251,38.9620779789
id_252,11.7634463967
id_253,22.376214572
id_254,17.066384423
id_255,32.0675638939
id_256,36.7536778985
id_257,2.90601232386
id_258,28.3227936774
id_259,39.9175439241
id_26,45.3484008224
id_27,33.3668330225
id_28,65.630725786
id_29,18.1924498958
id_3,15.575427894
id_30,13.824891112
id_31,43.0308283556
id_32,35.7529372118
id_33,31.3364908135
id_34,53.3147777577
id_35,36.8166204687
id_36,14.5749027085
id_37,49.6290079147
id_38,21.2380264273
id_39,2.50264025452
id_4,26.9891267408
id_40,24.7869532835
id_41,4.79873506635
id_42,45.4490720778
id_43,52.8484232086
id_44,59.5717790928
id_45,41.1344916673
id_46,36.425633272
id_47,22.6288348781
id_48,22.2120911085
id_49,61.359528432
id_5,107.56962686
id_50,26.0861347725
id_51,51.2232146721
id_52,19.087542514
id_53,32.2916833825
id_54,16.5046441072
id_55,37.7842541852
id_56,42.6805191971
id_57,26.7482413592
id_58,27.5331196299
id_59,12.8135886764
id_6,26.2722452397
id_60,58.2313066817
id_61,86.3227663154
id_62,37.3189395592
id_63,20.9241283245
id_64,14.8355105219
id_65,42.2245419672
id_66,43.7767763425
id_67,10.8111586149
id_68,55.0049069246
id_69,6.05109056478
id_7,37.9428267335
id_70,14.1952854938
id_71,26.3734855682
id_72,29.4431851619
id_73,14.0036728688
id_74,44.9850415872
id_75,62.3512532882
id_76,8.03533336315
id_77,37.010912648
id_78,77.9002349597
id_79,43.5418154866
id_8,39.8734780698
id_80,45.7561687145
id_81,20.6724567028
id_82,14.4474567529
id_83,41.0082812165
id_84,13.5144743882
id_85,11.544387194
id_86,29.5071877699
id_87,88.0815860031
id_88,28.9202286369
id_89,46.7666355891
id_9,20.3314358227
id_90,21.208294499
id_91,65.28010056
id_92,58.7315104653
id_93,6.6881169514
id_94,22.6159661405
id_95,29.4010607161
id_96,23.0912315493
id_97,0.730500492464
id_98,16.9162997959
id_99,36.498402658
